"GeneSym","source_desc","protein","cell","Tissue","target_id","weight"
"ANAPC11",NA,"51529","ACC-MESO-1","Mesothelioma",-666,1
"ANKLE2",NA,"23141","ACC-MESO-1","Mesothelioma",-666,1
"BRF2",NA,"55290","ACC-MESO-1","Mesothelioma",-666,1
"CCT3",NA,"7203","ACC-MESO-1","Mesothelioma",-666,1
"CDC123",NA,"8872","ACC-MESO-1","Mesothelioma",-666,1
"CDC23",NA,"8697","ACC-MESO-1","Mesothelioma",-666,1
"CDC27",NA,"996","ACC-MESO-1","Mesothelioma",-666,1
"CDC45",NA,"8318","ACC-MESO-1","Mesothelioma",-666,1
"CDC5L",NA,"988","ACC-MESO-1","Mesothelioma",-666,1
"CHEK1",NA,"1111","ACC-MESO-1","Mesothelioma",-666,1
"CLP1",NA,"10978","ACC-MESO-1","Mesothelioma",-666,1
"COPA",NA,"1314","ACC-MESO-1","Mesothelioma",-666,1
"CSE1L",NA,"1434","ACC-MESO-1","Mesothelioma",-666,1
"DAD1",NA,"1603","ACC-MESO-1","Mesothelioma",-666,1
"DDX18",NA,"8886","ACC-MESO-1","Mesothelioma",-666,1
"DONSON",NA,"29980","ACC-MESO-1","Mesothelioma",-666,1
"DTL",NA,"51514","ACC-MESO-1","Mesothelioma",-666,1
"EEF2",NA,"1938","ACC-MESO-1","Mesothelioma",-666,1
"EFTUD2",NA,"9343","ACC-MESO-1","Mesothelioma",-666,1
"EIF3B",NA,"8662","ACC-MESO-1","Mesothelioma",-666,1
"EIF4A3",NA,"9775","ACC-MESO-1","Mesothelioma",-666,1
"ETF1",NA,"2107","ACC-MESO-1","Mesothelioma",-666,1
"FAU",NA,"2197","ACC-MESO-1","Mesothelioma",-666,1
"GINS1",NA,"9837","ACC-MESO-1","Mesothelioma",-666,1
"GPN1",NA,"11321","ACC-MESO-1","Mesothelioma",-666,1
"GPN3",NA,"51184","ACC-MESO-1","Mesothelioma",-666,1
"GTF2B",NA,"2959","ACC-MESO-1","Mesothelioma",-666,1
"H2BC11",NA,"8970","ACC-MESO-1","Mesothelioma",-666,1
"HNRNPK",NA,"3190","ACC-MESO-1","Mesothelioma",-666,1
"HSPA9",NA,"3313","ACC-MESO-1","Mesothelioma",-666,1
"HSPE1",NA,"3336","ACC-MESO-1","Mesothelioma",-666,1
"ISCU",NA,"23479","ACC-MESO-1","Mesothelioma",-666,1
"KARS1",NA,"3735","ACC-MESO-1","Mesothelioma",-666,1
"KIF11",NA,"3832","ACC-MESO-1","Mesothelioma",-666,1
"LSM2",NA,"57819","ACC-MESO-1","Mesothelioma",-666,1
"LSM6",NA,"11157","ACC-MESO-1","Mesothelioma",-666,1
"MCM2",NA,"4171","ACC-MESO-1","Mesothelioma",-666,1
"MTBP",NA,"27085","ACC-MESO-1","Mesothelioma",-666,1
"NSF",NA,"4905","ACC-MESO-1","Mesothelioma",-666,1
"NUDT21",NA,"11051","ACC-MESO-1","Mesothelioma",-666,1
"PAFAH1B1",NA,"5048","ACC-MESO-1","Mesothelioma",-666,1
"PCNA",NA,"5111","ACC-MESO-1","Mesothelioma",-666,1
"PHB2",NA,"11331","ACC-MESO-1","Mesothelioma",-666,1
"PHF5A",NA,"84844","ACC-MESO-1","Mesothelioma",-666,1
"PLK1",NA,"5347","ACC-MESO-1","Mesothelioma",-666,1
"POLR1C",NA,"9533","ACC-MESO-1","Mesothelioma",-666,1
"POLR2L",NA,"5441","ACC-MESO-1","Mesothelioma",-666,1
"PRELID1",NA,"27166","ACC-MESO-1","Mesothelioma",-666,1
"PRPF19",NA,"27339","ACC-MESO-1","Mesothelioma",-666,1
"PRPF38A",NA,"84950","ACC-MESO-1","Mesothelioma",-666,1
"PRPF38B",NA,"55119","ACC-MESO-1","Mesothelioma",-666,1
"PRPF8",NA,"10594","ACC-MESO-1","Mesothelioma",-666,1
"PSMA1",NA,"5682","ACC-MESO-1","Mesothelioma",-666,1
"PSMA2",NA,"5683","ACC-MESO-1","Mesothelioma",-666,1
"PSMA3",NA,"5684","ACC-MESO-1","Mesothelioma",-666,1
"PSMA4",NA,"5685","ACC-MESO-1","Mesothelioma",-666,1
"PSMA6",NA,"5687","ACC-MESO-1","Mesothelioma",-666,1
"PSMA7",NA,"5688","ACC-MESO-1","Mesothelioma",-666,1
"PSMB3",NA,"5691","ACC-MESO-1","Mesothelioma",-666,1
"PSMB4",NA,"5692","ACC-MESO-1","Mesothelioma",-666,1
"PUF60",NA,"22827","ACC-MESO-1","Mesothelioma",-666,1
"RAD21",NA,"5885","ACC-MESO-1","Mesothelioma",-666,1
"RAN",NA,"5901","ACC-MESO-1","Mesothelioma",-666,1
"RNGTT",NA,"8732","ACC-MESO-1","Mesothelioma",-666,1
"RPA1",NA,"6117","ACC-MESO-1","Mesothelioma",-666,1
"RPL11",NA,"6135","ACC-MESO-1","Mesothelioma",-666,1
"RPL12",NA,"6136","ACC-MESO-1","Mesothelioma",-666,1
"RPL13",NA,"6137","ACC-MESO-1","Mesothelioma",-666,1
"RPL14",NA,"9045","ACC-MESO-1","Mesothelioma",-666,1
"RPL15",NA,"6138","ACC-MESO-1","Mesothelioma",-666,1
"RPL18A",NA,"6142","ACC-MESO-1","Mesothelioma",-666,1
"RPL21",NA,"6144","ACC-MESO-1","Mesothelioma",-666,1
"RPL23",NA,"9349","ACC-MESO-1","Mesothelioma",-666,1
"RPL24",NA,"6152","ACC-MESO-1","Mesothelioma",-666,1
"RPL27",NA,"6155","ACC-MESO-1","Mesothelioma",-666,1
"RPL3",NA,"6122","ACC-MESO-1","Mesothelioma",-666,1
"RPL31",NA,"6160","ACC-MESO-1","Mesothelioma",-666,1
"RPL32",NA,"6161","ACC-MESO-1","Mesothelioma",-666,1
"RPL4",NA,"6124","ACC-MESO-1","Mesothelioma",-666,1
"RPL5",NA,"6125","ACC-MESO-1","Mesothelioma",-666,1
"RPL7",NA,"6129","ACC-MESO-1","Mesothelioma",-666,1
"RPL8",NA,"6132","ACC-MESO-1","Mesothelioma",-666,1
"RPS11",NA,"6205","ACC-MESO-1","Mesothelioma",-666,1
"RPS13",NA,"6207","ACC-MESO-1","Mesothelioma",-666,1
"RPS15",NA,"6209","ACC-MESO-1","Mesothelioma",-666,1
"RPS15A",NA,"6210","ACC-MESO-1","Mesothelioma",-666,1
"RPS18",NA,"6222","ACC-MESO-1","Mesothelioma",-666,1
"RPS19",NA,"6223","ACC-MESO-1","Mesothelioma",-666,1
"RPS20",NA,"6224","ACC-MESO-1","Mesothelioma",-666,1
"RPS27A",NA,"6233","ACC-MESO-1","Mesothelioma",-666,1
"RPS29",NA,"6235","ACC-MESO-1","Mesothelioma",-666,1
"RPS3",NA,"6188","ACC-MESO-1","Mesothelioma",-666,1
"RPS4X",NA,"6191","ACC-MESO-1","Mesothelioma",-666,1
"RPS6",NA,"6194","ACC-MESO-1","Mesothelioma",-666,1
"RPS8",NA,"6202","ACC-MESO-1","Mesothelioma",-666,1
"RPS9",NA,"6203","ACC-MESO-1","Mesothelioma",-666,1
"RPSA",NA,"3921","ACC-MESO-1","Mesothelioma",-666,1
"RRM1",NA,"6240","ACC-MESO-1","Mesothelioma",-666,1
"SARS1",NA,"6301","ACC-MESO-1","Mesothelioma",-666,1
"SDE2",NA,"163859","ACC-MESO-1","Mesothelioma",-666,1
"SF1",NA,"7536","ACC-MESO-1","Mesothelioma",-666,1
"SF3A1",NA,"10291","ACC-MESO-1","Mesothelioma",-666,1
"SF3B3",NA,"23450","ACC-MESO-1","Mesothelioma",-666,1
"SMU1",NA,"55234","ACC-MESO-1","Mesothelioma",-666,1
"SNRNP200",NA,"23020","ACC-MESO-1","Mesothelioma",-666,1
"SNRPA1",NA,"6627","ACC-MESO-1","Mesothelioma",-666,1
"SNRPB",NA,"6628","ACC-MESO-1","Mesothelioma",-666,1
"SNRPD1",NA,"6632","ACC-MESO-1","Mesothelioma",-666,1
"SNRPD2",NA,"6633","ACC-MESO-1","Mesothelioma",-666,1
"SNRPF",NA,"6636","ACC-MESO-1","Mesothelioma",-666,1
"SRSF7",NA,"6432","ACC-MESO-1","Mesothelioma",-666,1
"SUPT6H",NA,"6830","ACC-MESO-1","Mesothelioma",-666,1
"TARS1",NA,"6897","ACC-MESO-1","Mesothelioma",-666,1
"THOC2",NA,"57187","ACC-MESO-1","Mesothelioma",-666,1
"TIMELESS",NA,"8914","ACC-MESO-1","Mesothelioma",-666,1
"TXNL4A",NA,"10907","ACC-MESO-1","Mesothelioma",-666,1
"UBA1",NA,"7317","ACC-MESO-1","Mesothelioma",-666,1
"UBL5",NA,"59286","ACC-MESO-1","Mesothelioma",-666,1
"VCP",NA,"7415","ACC-MESO-1","Mesothelioma",-666,1
"WDR43",NA,"23160","ACC-MESO-1","Mesothelioma",-666,1
"WDR74",NA,"54663","ACC-MESO-1","Mesothelioma",-666,1
"WEE1",NA,"7465","ACC-MESO-1","Mesothelioma",-666,1
"XAB2",NA,"56949","ACC-MESO-1","Mesothelioma",-666,1
"ZNF207",NA,"7756","ACC-MESO-1","Mesothelioma",-666,1
"BANF1",NA,"8815","ACC-MESO-1","Mesothelioma",-666,1
"CCT4",NA,"10575","ACC-MESO-1","Mesothelioma",-666,1
"CCT2",NA,"10576","ACC-MESO-1","Mesothelioma",-666,1
"RRN3",NA,"54700","ACC-MESO-1","Mesothelioma",-666,1
"AARS1",NA,"16","NCI-H2452","Mesothelioma",-666,1
"ABCE1",NA,"6059","NCI-H2452","Mesothelioma",-666,1
"ANAPC11",NA,"51529","NCI-H2452","Mesothelioma",-666,1
"ANKLE2",NA,"23141","NCI-H2452","Mesothelioma",-666,1
"ATP6V0C",NA,"527","NCI-H2452","Mesothelioma",-666,1
