Unnamed: 0,drug_a_name,drug_b_name,cell,synergy,drug1_db,drug2_db,synergistic
5-FU_ABT-888_A2058,5-FU,ABT-888,9,7.693530166,0,18,1
5-FU_ABT-888_A2780,5-FU,ABT-888,27,7.77805306,0,18,1
5-FU_ABT-888_A375,5-FU,ABT-888,20,-1.198505438,0,18,0
5-FU_ABT-888_CAOV3,5-FU,ABT-888,14,-5.139971221,0,18,0
5-FU_ABT-888_DLD1,5-FU,ABT-888,23,1.935127119,0,18,1
5-FU_ABT-888_ES2,5-FU,ABT-888,3,1.498650452,0,18,1
5-FU_ABT-888_HCT116,5-FU,ABT-888,28,9.463280869,0,18,1
5-FU_ABT-888_HT144,5-FU,ABT-888,5,-3.701354746,0,18,0
5-FU_ABT-888_HT29,5-FU,ABT-888,0,10.17343391,0,18,1
5-FU_ABT-888_KPL1,5-FU,ABT-888,21,2.157004428,0,18,1
5-FU_ABT-888_LOVO,5-FU,ABT-888,13,-8.979213946,0,18,0
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,16,6.899259995,0,18,1
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,15,-5.996370296,0,18,0
5-FU_ABT-888_NCIH2122,5-FU,ABT-888,24,7.890256814,0,18,1
5-FU_ABT-888_NCIH23,5-FU,ABT-888,12,-5.042652306,0,18,0
5-FU_ABT-888_NCIH460,5-FU,ABT-888,17,-6.611947917,0,18,0
5-FU_ABT-888_NCIH520,5-FU,ABT-888,4,3.698834848,0,18,1
5-FU_ABT-888_OV90,5-FU,ABT-888,8,-10.06884761,0,18,0
5-FU_ABT-888_RKO,5-FU,ABT-888,2,-2.677587786,0,18,0
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,1,-2.17322193,0,18,0
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,25,-36.45922958,0,18,0
5-FU_ABT-888_SKMES1,5-FU,ABT-888,22,-0.086424579,0,18,0
5-FU_ABT-888_SKOV3,5-FU,ABT-888,26,5.077177384,0,18,1
5-FU_ABT-888_SW620,5-FU,ABT-888,10,0.108107719,0,18,1
5-FU_ABT-888_SW837,5-FU,ABT-888,18,-14.52310863,0,18,0
5-FU_ABT-888_T47D,5-FU,ABT-888,11,17.48579545,0,18,1
5-FU_ABT-888_UACC62,5-FU,ABT-888,19,-1.583963783,0,18,0
5-FU_ABT-888_VCAP,5-FU,ABT-888,7,1.096102762,0,18,1
5-FU_ABT-888_ZR751,5-FU,ABT-888,6,-8.675317044,0,18,0
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,9,-5.239878448,0,16,0
5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,27,-18.59912622,0,16,0
5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,20,-2.405334783,0,16,0
5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,14,-35.27304184,0,16,0
5-FU_BORTEZOMIB_DLD1,5-FU,BORTEZOMIB,23,5.228476756,0,16,1
5-FU_BORTEZOMIB_ES2,5-FU,BORTEZOMIB,3,-16.13012533,0,16,0
5-FU_BORTEZOMIB_HCT116,5-FU,BORTEZOMIB,28,-4.51926945,0,16,0
5-FU_BORTEZOMIB_HT144,5-FU,BORTEZOMIB,5,-14.56978258,0,16,0
5-FU_BORTEZOMIB_HT29,5-FU,BORTEZOMIB,0,-15.95161347,0,16,0
5-FU_BORTEZOMIB_KPL1,5-FU,BORTEZOMIB,21,-2.997532726,0,16,0
5-FU_BORTEZOMIB_LOVO,5-FU,BORTEZOMIB,13,-6.175982009,0,16,0
5-FU_BORTEZOMIB_MDAMB436,5-FU,BORTEZOMIB,16,-2.025565761,0,16,0
5-FU_BORTEZOMIB_NCIH1650,5-FU,BORTEZOMIB,15,-15.77870569,0,16,0
5-FU_BORTEZOMIB_NCIH2122,5-FU,BORTEZOMIB,24,-16.69626568,0,16,0
5-FU_BORTEZOMIB_NCIH23,5-FU,BORTEZOMIB,12,-9.190964586,0,16,0
5-FU_BORTEZOMIB_NCIH460,5-FU,BORTEZOMIB,17,-18.99813026,0,16,0
5-FU_BORTEZOMIB_NCIH520,5-FU,BORTEZOMIB,4,-24.06755091,0,16,0
5-FU_BORTEZOMIB_OV90,5-FU,BORTEZOMIB,8,-9.586166869,0,16,0
5-FU_BORTEZOMIB_RKO,5-FU,BORTEZOMIB,2,2.907200668,0,16,1
5-FU_BORTEZOMIB_RPMI7951,5-FU,BORTEZOMIB,1,-10.47941439,0,16,0
5-FU_BORTEZOMIB_SKMEL30,5-FU,BORTEZOMIB,25,-172.8887021,0,16,0
5-FU_BORTEZOMIB_SKMES1,5-FU,BORTEZOMIB,22,-11.64272985,0,16,0
5-FU_BORTEZOMIB_SKOV3,5-FU,BORTEZOMIB,26,-4.604893623,0,16,0
5-FU_BORTEZOMIB_SW620,5-FU,BORTEZOMIB,10,-1.907966818,0,16,0
5-FU_BORTEZOMIB_SW837,5-FU,BORTEZOMIB,18,-1.3618595,0,16,0
5-FU_BORTEZOMIB_T47D,5-FU,BORTEZOMIB,11,2.748791181,0,16,1
5-FU_BORTEZOMIB_UACC62,5-FU,BORTEZOMIB,19,-17.84185108,0,16,0
5-FU_BORTEZOMIB_VCAP,5-FU,BORTEZOMIB,7,-7.053510631,0,16,0
5-FU_BORTEZOMIB_ZR751,5-FU,BORTEZOMIB,6,-17.45137527,0,16,0
5-FU_DASATINIB_A2058,5-FU,DASATINIB,9,31.12564418,0,4,1
5-FU_DASATINIB_A2780,5-FU,DASATINIB,27,50.60366026,0,4,1
5-FU_DASATINIB_A375,5-FU,DASATINIB,20,2.683689159,0,4,1
5-FU_DASATINIB_CAOV3,5-FU,DASATINIB,14,17.87983173,0,4,1
5-FU_DASATINIB_DLD1,5-FU,DASATINIB,23,21.43309088,0,4,1
5-FU_DASATINIB_ES2,5-FU,DASATINIB,3,17.69019535,0,4,1
5-FU_DASATINIB_HCT116,5-FU,DASATINIB,28,-7.819271786,0,4,0
5-FU_DASATINIB_HT144,5-FU,DASATINIB,5,-22.97327812,0,4,0
5-FU_DASATINIB_HT29,5-FU,DASATINIB,0,17.06698076,0,4,1
5-FU_DASATINIB_KPL1,5-FU,DASATINIB,21,3.446811911,0,4,1
5-FU_DASATINIB_LOVO,5-FU,DASATINIB,13,21.38558819,0,4,1
5-FU_DASATINIB_MDAMB436,5-FU,DASATINIB,16,18.71869688,0,4,1
